ID,Qty,Name,Manufacturer,Part Number,Package,Unit Cost,Total Cost,Digikey
C38,1,"Cap, Tantalum, 100uF, 10V, 10%",AVX,TPSC107K010R0150,2312/6032,0.46,0.46,478-7995-1-ND
"C23,C27,C28",3,"Cap, Ceramic, 22uF, 6.3V, 10%",TDK,C3216X5R0J226K/1.6,1206,0.48,0,445-4059-1-ND
C33,1,"Cap, Ceramic, 10uF, 50V, 10%",Samsung,CL31A106KBHNNNE,1206,0.38,0.38,1276-2876-1-ND
C36,1,"Cap, Ceramic, 10uF, 6.3V, 10%",Taiyo Yuden,JMK316B7106KL-T,1206,0.28,0.28,587-1346-1-ND
"C20,C51,C52",3,"Cap, Ceramic, 2.2uF, 10V, 10%",Taiyo Yuden,LMK107BJ225KA-T,0603,0.13,0.39,587-1253-1-ND
"C39-C43,C59,C60",7,"Cap, Ceramic, 1uF, 10V, 10%",Taiyo Yuden,LMK107B7105KA-T,0603,0.10,0.7,587-1242-1-ND
C1,1,"Cap, Ceramic, 1uF, 50V, 10%",Taiyo Yuden,UMK107AB7105KA-T,0603,0.46,0.46,587-3247-1-ND
C58,1,"Cap, Ceramic, 470nF, 10V, 10%",Samsung,CL10B474KP8NNNC,0603,0.10,0.1,1276-1247-1-ND
"C21,C26",2,"Cap, Ceramic, 220nF, 10V, 10%",Samsung,CL05B224KP5NNNC,0402,0.11,0.22,1276-1539-1-ND
"C2,C5,C7,C9-C10,C13,C15,C18,C31,C32,C34,C35,C37,C45-C50,C53,C62",21,"Cap, Ceramic, 100nF, 10V, 10%",SMTZone,MC02KTB100104,0402,ON HAND,,
C56,1,"Cap, Ceramic, 10nF, 10V, 10%",SMTZone,MC02KTB500103,0402,ON HAND,,
C44,1,"Cap, Ceramic, 1nF, 10V, 10%",SMTZone,MC02KTB500102,0402,ON HAND,,
C4,1,"Cap, Ceramic, 470pF, 10V, 10%",SMTZone,MC02KTB500471,0402,ON HAND,,
"C6,C8,C12,C14,C16,C17,C19,C22,C24",9,"Cap, Ceramic, 100pF, 10V, 10%",SMTZone,MC02JTN500101,0402,ON HAND,,
C3,1,"Cap, Ceramic, 27pF, 10V, 10%",SMTZone,MC02JTN500270,0402,ON HAND,,
